"target","pos","target_id","context"
"building","n","t:66ea0c5334c58f7cadec7e5ce83942074e3026c6","A corpulent, batrachian woman walked along with something on a leash that looked like a massive water beetle. Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed."
"business","n","t:e4324841d70df226075209662e6955b63b13163d","'To play to win in technology, you innovate and you lead,' he said. But manufacturing technology products is a costly and cyclical business. In June, IBM announced that it was taking a charge of more than $2 billion against earnings."
"call","v","t:e09c2e2667dc7d92002323cfd0f33536048c4998","…I thought as much. Now leave, before I call the rats on you.” We left."
"called","v","t:683b4213199d861ede76ec68d9ab81e122161444","Dubai 10-28 (FP) - Dubai's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free zone for e-commerce today, called Dubai Internet City. The preliminary stages of the project, the only one of its kind according to its designers, are estimated at $200 million."
"calling","v","t:cdeed6b1e9f0c478d16d31870da21d9d2230624a","On his metal desk were names of military men being ordered into the organization. He was calling bases all over the United States to line up their transfer to the desert outside Salt Lake City. 'Where is the authority?' asked one officer who didn't want to lose a valuable man under his command."
"calm","v","t:8b6ec02cc35c94c2c23f0fc0833f48286f3fb42c","Don’t forget, she’s your girlfriend. Now calm down while I talk to this gentleman. I can hear your heartbeat from over here.”"
"campaign","n","t:28de7d61cf1d52d96e7dd40c0b2274d16c773599","Le Bernardin's menu also informs diners that the restaurant will not serve swordfish to support efforts 'to recover the species.' 'I don't wish to be a spokesman for any campaign,' Ripert said. 'I do it as somebody who has a conscience and is caring.'"
"car","n","t:722ab4f51c24354686dc43834573f28eca2c2b99","“Okay,” I said. “I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now?"
"case","n","t:24c595f2656f0071bef445b751603bab9993a914","Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly stealing Western corporate communications. He cited the case of a Swiss oil trader who recently put out bids via telex for an oil tanker to pick up a cargo of crude in the Middle East. Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid."
"cathedral","n","t:89f7444f09660534d822e5490ec69c6d88bac3c7","I didn’t imagine that Nepthys had done it, and it wasn’t without alarm that I ran after him. A black hallway opened into a space like a cathedral. The vault rose into obscurity above me, and a massive rose window stood ahead of me."
"certain","a","t:44658eeb7b003a84eb3e87ad03b5367c79e9c7e3","Some working chefs say they routinely review conservation group Web sites, government reports and industry sources. 'For me, it's very difficult to be certain that the information which is given to me is real,' said Eric Ripert, chef at Le Bernardin, a four-star seafood restaurant in Manhattan. 'I don't know."
"chances","n","t:b1c75febbf9e59a199c6c3fd106527f1eb945a66","I thought that my odds were better on the dance floor. Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd."
"checking","v","t:cf774d0147ad8bbc5e7cd247b3985f4a1d37a9b4","“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again."
"chef","n","t:8fe910b266de094881a756934b4b63ee7712a3b6","The nationwide boycott of Chilean seabass is a potent example of the new activism. 'I have made it a policy of mine never to serve Chilean seabass,' said Billy Hahn, executive chef at Jake's Famous Crawfish, a Portland, Ore., landmark since 1892. 'I refuse to sell it.'"
"chips","n","t:09019b412fc489f9a8cc8a0bc4c478b20b593087","But industry analysts said the plant should be insulated from a falloff in one or a few segments of the semiconductor market. (END OPTIONAL TRIM) The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand. 'The diversity is the big difference with this plant,' said Richard Doherty, president of Envisioneering, a research firm."
"church","n","t:58daf176e422a3b9d8ebf127372d2b90db62d409","I didn’t know how they could miss such exotic features, even in that distorting light. I caught a taxi back to the church. It was still a mess, but everything bigger than a soda can had disappeared."
"close","v","t:3c8f6c5ab0f9cf162326d1acb35b978c08c4dfd5","Step behind the cart and enter through the door there, using your left hand to open the door and your right – ” he looked at me “ – to close it.” “Thank you.”"
"cloth","n","t:a85ee0da8bd1bc9a46242066de8ed0372eabcfb6","We kissed and slipped inside. The old vaulted church was stripped down: there was no cloth on the altar, just a DJ’s toolkit and his beer. Through the dark, I could see three bolts left in the wall from where they’d taken down the crucifix."
"code","n","t:e5a305867dcff2037f733847ba25de1ba81b7697","'This is a Silverplate request,' he said. Silverplate: code word for the historic mission that would end World War II. Almost 1,800 men were assembled n late 1944 to join the top-secret unit called the 509th Composite Group."
"cold","a","t:dc98fe7b468825e3ed571002e41e196e839850fb","I closed the phone. Walking out of the church, a little gust of cold air caught me by surprise. A cold front must have hit while I was inside."
"coming","v","t:c96773a6501760db0ce30dd5078b0548f6cba25b","Nepthys walked towards it and pressed his bloody palm against it, opening the door. “Are you coming?” We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town."
"committees","n","t:292bb0acd7a58632cc37c5369e34aa6d98accd14","Moreover, he said, technology now exists for stealing corporate secrets after they've been 'erased' from a computer's memory. He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read. No personal computer, not even the one on a chief executive's desk, is safe, this speaker noted."
"complaint","n","t:56cbbb79529f39a8f10255867565025c49f504f2","The ISU later suspended Le Gougne and Gailhaguet for three years. The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne. 'We have alleged no connection between this man with any officials other than with Russian federation officials,' James B. Comey, the U.S. attorney for the Southern District of New York, said at a news conference."
"complements","v","t:80381a6a2ea746129a39d3d1ebd9b71de3fd4709","'He's a good defender, he has a good arm, he plays the tough right-field position and plays it well. He's a right-handed bat, which complements Palmeiro off the bench. 'From a realistic standpoint, were we going to find an outfielder that pushed one of our outfielders to the bench?"
"composite","a","t:d228977b09734a601732321eb09e3b7f0c65f9c7","In addition, operating results were hit by an increase in loan and real estate loss reserves. In American Stock Exchange composite trading, Citadel shares closed yesterday at $45.75, down 25 cents."
"condominium","n","t:c7d3de4d625bd64e38a319fdd74d2081040c0477","The schedule Child and her assistant of 14 years, former pastry chef Stephanie Hersh, have laid out is not exactly a senior-citizen routine, even though Child has always been candid about her age and realistic in assessing her own capabilities. When the Pasadena native moved back to California from her long-time home in the Boston area last year, she also made the move from a condominium she and her late husband, Paul, had purchased many years ago to a progressive retirement home. She is in the most active of the four levels available, but should the need arise, she can move on to assisted living facilities within the same complex."
"considered","v","t:d8076851d85eda6e30987b59dd0ea36975906465","“What would convince you to part with it?” She considered this, looking him over. “You wouldn’t give me the human, would you?"
"corporate","a","t:6ee840c01af5ee681110626a7eedde024e4810d1","Already many foreign firms, especially banks, have their own cryptographers, conference speakers reported. Still, encrypting corporate communications is only a partial remedy. One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies."
"course","n","t:852a1d7a97c62d9117c48a5678b2e2d40c24e21d","I don’t want my customers thinkin’ that anything’s wrong, you know?” “Of course. We’ll be in and out in a minute.”"
"course","n","t:8d80c816d010cc8fbdad2b654e5c09a61fb3bc2d","If you would fetch me this stone, I would tell you what I can.” “Of course we will fetch you the stone,” Nepthys assured him. “You have our thanks.”"
"current","a","t:e0cea73cbb0a39a76ba0058c2823eedaedc6d0e7","Then, with a sigh, he said, “I have need of a certain stone that I once possessed. It would allow me to leave this bed, despite my current illness. My problem is that it was not made in this realm, but by a human, and only a human may handle it."
"customers","n","t:caa873415e177a7682b27e795ee2bb90703e6460","Most say they're driven by the desire to do right by the environment. Some also say they must listen to their customers' concerns or risk a consumer backlash. The nationwide boycott of Chilean seabass is a potent example of the new activism."
"damage","n","t:d88a0506da935825dca601a7a411e9ff3b3883be","'We have seen that raising consumer awareness and concern among restaurants and retailers about a particular fishery can really make a difference.' ' (OPTIONAL TRIM FOLLOWS) The Monterey Bay Aquarium's Web site rates different species of fish for overfishing, habitat damage and other factors. The California aquarium also created 'Seafood Watch' wallet cards designed to take to restaurants."
"dance","n","t:4993fd5248b7d9ac839eba895fb4f881d7f0d237","He didn’t look very surprised. “Anyway, this is the dance floor, man. Good luck.”"
"dark","a","t:a4fec68491354519a7d352f3104bb92cf7dd92f8","Her candy lips twisted into a frown. The dark glow grew stronger and larger, filling the air for about a foot around her hands. In her palms, the droplets of blood swelled into small pools."
"day","n","t:64c95bb573b578a0a3c4189b62f9be2da1980bd7","But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th. Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening. The word spread: 'This is it."
"days","n","t:4ee12d116efc18ab69e260590047d5e45538dca5","They were a wartime match that changed the world. Japan surrendered within days of the detonation of the atomic bombs that killed 140,000 people in Hiroshima on Aug. 6, 1945, and 70,000 in Nagasaki three days later. The story of the 509th is a tale of an elite outfit that lived in a bubble of secrecy and endured the taunts of other war-weary U.S. units that resented sharing a small Pacific island with the 509th, which appeared exempt from combat."
"deal","n","t:31cf95abf328a577be4080937e5b98bab1071af2","“Only if you stop beginning every sentence with my name.” “You’ve got a deal. Let’s go.”"
"dealing","v","t:564d55ff0a98a5c527e613929abceb1df5a2d51c","asked the hunchback. “I’ve looked into it a little, and I do think we might be dealing with one of them. Have you seen anyone like that in your club?”"
"debate","n","t:5820041d2c8debc2b3d5ad6f9134c92065408497","The 300-member SSCP is the only group within the APA to have taken a formal stance against prescription privileges. The APA has scheduled 30 minutes at its meeting in August for an RxP debate, but its leadership believes it already has an accurate sense of support for its RxP policy. 'Except for this small vocal minority, we have just not gotten a lot of groundswell against this from members,' says APA president Philip G. Zimbardo of Stanford University."
"deemed","v","t:997fb69e20a7df57ea812e9322ba86c3ca3f2e11","By rule, the players to be named later cannot be players on the active major-league roster. In the past week, the Angels deemed outfield depth their biggest need, above adding a reliever to the bullpen. Orlando Palmeiro was the only backup outfielder on the major-league roster and the outfielders in the minor-league system are too inexperienced to be counted on in a pennant race."
"defeats","n","t:a91e36408bb9769bdd236566a1ac2304261065cd","Auburn football players are reminded of last year's losses every time they go into the weight room. T-shirts hanging on the wall are inscribed with the scores of each of the Tigers' five defeats. 'We see that crimson (from the Alabama loss) every day,' tight end Lorenzo Diamond said, 'and that's a big motivational factor for us."
"destroyed","v","t:40a99f0b439ae3973360edb6765571ed7e34ef17","Iraq has been under economic sanctions since the war ended, which some say have thwarted the country's ability to recover from the devastation of the bombing campaign. The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization. In 1996 the WHO found that much of the population existed in a state of ``semi starvation.''"
"detailing","v","t:31222918036eaf0e2eee4bd440aaa902fa314b80","The complaint casts the Salt Lake City figure skating scandal in a more serious light than the cronyism and vote-swapping that have tainted the increasingly troubled sport. Over the past four years, four judges have been suspended, including a Ukrainian who was taped by a Canadian judge detailing the order of finish for the ice dancers before the 1998 Winter Games in Nagano, Japan. If convicted of the charges against him -- conspiracy to commit wire fraud and conspiracy to commit bribery, both felonies _ Tokhtakhounov faces maximum prison time of 10 years and a fine of $500,000 or more."
"director","n","t:ef97e54008fe157e7461377ca53cf1a0de0b1ce8","Denise Hale, social icon and Liza Minnelli's stepmother: 'Julia Child gave to all women one beautiful present: Watching her series you found out you don't have to be perfect.' Francis Ford Coppola, film director: 'I think she's a fascinating woman, and I enjoy very much watching her shows with Jacques Pepin.' Harry Denton, San Francisco nightclub owner: 'My favorite thing about her is her straightforward honesty and that her favorite food is butter."
"discover","v","t:768a7b1848f9dcb81c6a90a434e4b0368285ce8d","I do not want to provide help to someone who would do harm.” “Sir, we simply want to discover whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”"
"do","v","t:7f403d1c34bae423e97f17aa233b5f89360e217c","“Let’s not get fucked up tonight, though, okay, Rache? We don’t – ” “Sure, babe."
"door","n","t:cc5884064ed3905e3b686da0d59ca75bc65aca9e","He ran down a hallway and slipped behind one of the doors, but Nepthys was close behind him and left it open for me. I called out to Amy to shut the door in case the vampire had any friends who might be trying to follow us. Inside was a dark room that looked like a storage space for DJ equipment."
"driving","v","t:0a7ad55020143f0c4450b5cbe7d09b1daffb2386","That just unnerved me more. As we kept driving, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings."
"dropping","v","t:a865909271b3750ab2a4433e3b70938c28a19a29","“And I am Isis,” said the woman, offering her hand to me. I took it and, dropping to one knee, gave her fingers a small kiss. It seemed appropriate."
"drove","v","t:a7a27b91ff65f65d019f02e8e56f22d99d961faa","I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth."
"ear","n","t:489d9feca9c578653519ffd4ddeddfbcad827cf8","“Why, the merchandise, of course,” she said. Nepthys leaned close to my ear. “This is a slave shop,” he explained quietly."
"ease","v","t:8399b9c65e7d8af76e4c0bf6b9b3c00b7141b7a9","BASRA, Iraq (AP) A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq said Wednesday it is important not only to force Baghdad to give up its weapons of mass destruction but also to do more to ease the hardships on ordinary Iraqis. Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposed on Iraq for its 1990 invasion of Kuwait, but said the United Nations should make sure that sanctions do not hurt innocent Iraqis."
"edge","n","t:fe0af76a6d67729a41d8e68b1302326f524c01cd","'What we call the lab-to-fab time should be as close to zero as possible,' Kelly said. 'If our strategy were anything but to be on the leading edge, we'd have put the plant in Asia.' The new factory, which will begin normal production early next year, will employ about 1,000 people."
"elves","n","t:7f47d4d6970ebfcd2210d26374cc6564e16a7ce6","“What do you mean?” “Okay, take elves.” He caught the bartender’s eye for another shot."
"enough","r","t:6e934dd01c813617782e28268a860e4140dccb0e","And how did you recognize me when – ” “That’s enough! I can only answer one question at a time."
"enough","r","t:4b95f0526d3377cc2ff5cb2256da9dd7e077fe3e","He pulled my ear down to his mouth. “You seen enough, man?” he shouted."
"especially","r","t:97769f17146c07b85bbda4d42d774ccf895b2681","He accepts his role with a club and he's a team guy. He's got that reputation and that's important to us, especially a club like ours that is an egoless club.' Ochoa will join the club today in Anaheim before tonight's game against the Yankees."
"even","r","t:1e47e199232d3fe8dee49d1b45fdf0a60c4801df","It was last February, after the winter break, that we moved in together. Now spring was back, under the concrete, and I could smell it even here. “Isn’t it an amazing night, Rache?"
"even","r","t:220726ced6ccc43df80115e45fdec016e88334ed","She has good blood under her cheeks. Good, round breasts, too, even though they’re small, they suit her.” Amy didn’t blush, and I hoped that she didn’t understand what Isis was saying."
"even","r","t:977092dec10fe6bb88535fe9ab66e8a72f813ea9","“Wait, Nepthys – you said nothing about vampires. Frankly, I don’t know if we can even doing anything against a vampire. There’s an entire industry in my world based around how unkillable they are."
"excited","v","t:2895eaaf6c24a5c87b61bc8b3949d8f34559df96","'The people of Miami and the people of the University of Florida wanted us to have it for a long time, but it wasn't going to happen with the 11-game format.' Although he said the Gators will be excited to play the Hurricanes, 'I don't want to talk about that game,' Zook said. 'If you look down the road too far, you get your feet cut out from under you.'"
"existed","v","t:8e510d8a139610e9f866bdc381c768301dcc4ec9","The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization. In 1996 the WHO found that much of the population existed in a state of ``semi starvation.'' Hall will be only the second member of Congress to travel in Iraq since the war, according to Hall's office."
"expected","v","t:e14baf8bef813f39dbfe9fae09f66fab19cb29b4","'Those hospitals were not for us. They were for (an expected invasion of Japan). And then the casualties were going to be terrible.'"
"expression","n","t:86ed8b180e060e1055f729ed93140b5ecda4b72e","No,” she said, seeing his expression, “that would make the stone rather useless.” Nevertheless, she gave me what I can only describe as an “appraising glance”."
"fabrication","n","t:ae34678506128a85339124f856218145379e8205","The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. They drop down from wires automatically into machines, sheathed in stainless steel and glass, for each stage of processing and fabrication. Throughout the 500 processing steps, which typically last 20 days, the wafers are not touched by human hands."
"family","n","t:1bce4f857dd6c961707a6a3c874a693a80ef48b5","“Who’s the freak?” “This is someone from Ivan’s family. Did I ever tell you about them?”"
"favorites","n","t:707398f87bec92d6621304afbed2565924c86d0f","He added: 'Everything is going the way you need it.' They also discussed the coming judging in ice dancing, in which the French and the Italian teams were the favorites. The second mobster said the French pair had 'only three judges,' and of the two judges they needed to win the gold medal 'one is ours, and the other our friends will give them.'"
"fell","v","t:71bbc6a008648df07cd65a7209064084fc2a0139","The crew slipped on dark glasses to prepare for the blinding flash of the bomb. At 8:15 a.m. Hiroshima time, the pneumatic bomb-bay doors opened and 'Little Boy,' equivalent to 20,000 tons of TNT, fell out. Tibbets and his crew had exactly 43 seconds to get away before the bomb exploded."
"few","a","t:bb65afbf6705adf1629c8d1809107a53b3ad8bcf","She waved down a car and pulled me in. In a few minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street."
"finished","v","t:da9d189d012c8de45afea9f2aee85cf1b1e3a7ff","“They’re quick, too. We’ll be done with them before your hair is finished.” Then she clapped her hands and brought in the barber."
"fire","n","t:04170a2f6ef46655e9e879ec227ce4ec513d155a","The crew was horrified by the purple mushroom cloud that climbed to 10 miles and looked as if it would engulf the Enola Gay. More shocking was the city of Hiroshima, which was on fire and bubbling like tar. 'We were all appalled,' the pilot said in his book 'The Tibbets Story.'"
"first","a","t:e725a115ddfc6af25e04320a7239ccf546e8f5da","'He was so knowledgeable he just got things done, allowing me to concentrate on other matters. I was very lucky to have Tom.' Tibbets quickly returned to Wendover after that first visit to set up his headquarters. His first order appointed Karnes adjutant for the 509th."
"flow","n","t:f54b9519896c48b8acab271a10236f8cc75c96c8","IRAQ-POVERTY (Washington) Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flow of food and medicine into Iraq. Hall, who recently returned from a trip to Iraq, said U.N. economic sanctions have hurt millions of civilians there."
"forward","r","t:9ae17c1a55151f4301ddf6ed76ab0d93ae112a3c","A confessional too beaten-up to have been sold was shaking in a way that suggested activity inside, and where the pews had been taken out, a couple hundred people were testifying to the DJ’s moving sermon. Rachel stepped forward into the crowd while I took a moment to drink in the ceiling’s blue-lit, shadowed vault and the light-catching haze from who-knows-what rising between the DJ and the crowd. There was a terrific echo, each beat reverberating inside of the next, and the old stained-glass windows rattled in their frames."
"forward","r","t:d708abec80f00efc128b192492b719d7a874518c","I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling forward. “Okay,” I said."
